Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
dm-csv-001,Bash-new-ls,Bash-new-cat,Python-new,Bash-new-cat,Terminate,,,,,,,,,,,,,,,
dm-csv-002,Bash-new-ls,Bash-new-cat,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head
dm-csv-003,Bash-new-ls,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head
dm-csv-004,Bash-new-ls,Python-new,Python,Terminate,,,,,,,,,,,,,,,,
dm-csv-005,Bash-new-ls,Bash-new-cat,Python-new,Python-debug,Bash-new-ls,Bash-new-cat,Python-new,Python-debug,Bash-new-ls,Bash-new-cat,Python-new,Python-debug,Bash-new-ls,Bash-new-cat,Python-new,Python-debug,Bash-new-ls,Bash-new-diff,Bash-new-cat,Python-new
dm-csv-006,Bash-new-ls,SQL-new-WITH,Bash-new-ls,Python-new,SQL-new-WITH,Python-new,SQL-new-WITH,Terminate,,,,,,,,,,,,
dm-csv-007,Bash-new-ls,Bash-new-cat,Python-new,Bash-new-ls,Terminate,,,,,,,,,,,,,,,
dm-csv-008,Bash-new-cat,Bash-new-ls,Bash-new-cat,Python-new,Python-debug,Python-new,Python-debug,Python,Terminate,,,,,,,,,,,
dm-csv-009,Bash-new-ls,Bash-new-cat,Python-new,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug,Python-debug
dm-csv-010,Bash-new-ls,Bash-new-cat,SQL-new-SELECT,Bash-new-ls,Bash-new-sqlite3,Bash-new-pip,Bash-debug-sudo,Bash-new-yum,Bash-new-apk,Bash-new-dnf,Bash-new-zypper,Bash-new-pacman,Bash-new-brew,Bash-new-pkg,Bash-new-emerge,Bash-new-port,Bash-new-pkg_add,Bash-new-pkgutil,Bash-new-pkg_info,Bash-new-pkg_search
dm-csv-011,Bash-new-ls,SQL-new-SELECT,Bash-new-ls,Bash-new-ls,Bash-new-ls,SQL-new-SELECT,Python-new,Bash-new-head,Python-new,Bash-new-head,Bash-new-ls,Python-new,Bash-new-head,Bash-new-ls,Python-new,Bash-new-head,Bash-new-ls,Python-new,Bash-new-head,Bash-new-ls
dm-csv-012,SQL-new-SELECT,Bash-new-ls,Bash-new-ls,Bash-new-ls,Python-new,SQL-new-WITH,SQL-debug-PRAGMA,SQL-new-WITH,SQL-debug-PRAGMA,SQL-new-WITH,SQL-debug-PRAGMA,SQL-new-WITH,SQL-debug-PRAGMA,SQL-new-WITH,Terminate,,,,,
dm-csv-013,Python-new,Python-new,Bash-new-head,Python-new,SQL-new-SELECT,Python-new,Bash-new-cat,Terminate,,,,,,,,,,,,
dm-csv-015,Bash-new-ls,SQL-new-SELECT,SQL-debug-PRAGMA,SQL-new-SELECT,SQL-debug-PRAGMA,SQL-new-SELECT,SQL-new-SELECT,SQL-new-SELECT,SQL-new-SELECT,Terminate,,,,,,,,,,
dm-csv-016,Bash-new-ls,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new
dm-csv-017,Bash-new-ls,Bash-new-cat,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new
dm-csv-018,Bash-new-ls,Bash-new-head,Bash-new-cut,Bash-new-cut,Bash-new-cut,Bash-new-python,Python-new,Bash-new-ls,Bash-new-head,Terminate,,,,,,,,,,
dm-csv-019,Bash-new-ls,SQL-new-SELECT,Python-new,Python-debug,Python-debug,SQL-new-SELECT,Terminate,,,,,,,,,,,,,
dm-csv-020,Bash-new-ls,Bash-new-cat,Python-new,Bash-new-head,Python-new,Python-debug,Bash-new-cat,Terminate,,,,,,,,,,,,
dm-csv-021,Bash-new-ls,SQL-new-SELECT,Python-new,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-ls,Bash-new-diff,Python-new,Python-debug,Bash-new-ls,Bash-new-diff,Terminate,,,,,,
plot-bar-001,Bash-new-ls,Python-new,Python,Terminate,,,,,,,,,,,,,,,,
plot-bar-002,Bash-new-ls,Bash-new-unzip,SQL-new-SELECT,SQL-debug-SELECT,SQL-new-PRAGMA,Python-new,SQL-new-SELECT,SQL-new-SELECT,Python-new,Python-debug,Python-debug,Python-debug,Python-debug,Terminate,,,,,,
plot-bar-003,Python-new,Bash-new-ls,Python-new,Python-debug,Python-debug,Python,Terminate,,,,,,,,,,,,,
plot-bar-004,Python-new,Bash-new-ls,Python-new,Python-debug,Bash-new-ls,Terminate,,,,,,,,,,,,,,
plot-bar-005,Bash-new-ls,Bash-new-cat,Python-new,Bash-new-head,Bash-new-head,Python-new,Python-debug,Bash-new-ls,Bash-new-display,Terminate,,,,,,,,,,
plot-bar-006,Bash-new-ls,Python-new,failParse,Python-new,Python-debug,Python-debug,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new,Python-new
plot-bar-007,Bash-new-pip,Bash-new-cat,Python-new,Bash-new-ls,Terminate,,,,,,,,,,,,,,,
plot-bar-008,Bash-new-ls,Python-new,Python-debug,Python-debug,Bash-new-head,Python-new,Bash-new-head,Python-new,Python-debug,Terminate,,,,,,,,,,
plot-bar-009,Python-new,Bash-new-ls,Python-new,Python-debug,Python-new,Python-new,Python-new,Terminate,,,,,,,,,,,,
plot-bar-010,Bash-new-ls,Bash-new-cat,Python-new,Bash-new-ls,Bash-new-display,Terminate,,,,,,,,,,,,,,
plot-bar-011,Bash-new-cat,Bash-new-python,Python-new,Bash-new-ls,Python-new,Python-debug,Bash-new-head,Python-new,Bash-new-head,Python-new,Bash-new-cat,Python-new,Bash-new-cat,Python-new,Bash-new-cat,Python-new,Bash-new-cat,Python-new,Bash-new-cat,Python-new
plot-bar-012,Bash-new-ls,Python-new,Terminate,,,,,,,,,,,,,,,,,
plot-bar-013,Bash-new-ls,Python-new,Python-debug,Python,Terminate,,,,,,,,,,,,,,,
plot-bar-014,Bash-new-ls,Python-new,Terminate,,,,,,,,,,,,,,,,,
plot-bar-015,Bash-new-ls,Python-new,Python-debug,Python-debug,Python-debug,Python,Terminate,,,,,,,,,,,,,
plot-bar-016,Bash-new-pip,SQL-new-SELECT,Bash-new-ls,Bash-new-unzip,SQL-new-SELECT,Python-new,Bash-new-ls,Terminate,,,,,,,,,,,,
plot-bar-017,Bash-new-pip,Python-new,Bash-new-ls,Python-new,Bash-new-head,Bash-new-head,Python-new,Bash-new-head,Python-new,Terminate,,,,,,,,,,
plot-bar-018,Bash-new-pip,Python-new,Bash-new-ls,Bash-new-cat,Bash-new-find,Terminate,,,,,,,,,,,,,,
plot-bar-019,Bash-new-cat,Python-new,Bash-new-ls,Python-new,Terminate,,,,,,,,,,,,,,,
plot-line-001,SQL-new-SELECT,Bash-new-ls,Bash-new-head,Bash-new-head,Python-new,Python-debug,Python-new,Python-debug,Terminate,,,,,,,,,,,
plot-line-003,Bash-new-ls,Python-new,Bash-new-head,Python-new,Bash-new-wc,Python-new,Bash-new-wc,Python-new,Bash-new-wc,Python-new,Bash-new-wc,Python-new,Bash-new-wc,Python-new,Bash-new-wc,Python-new,Bash-new-wc,Python-new,Bash-new-wc,Python-new
